0_1	3
0_2	1.5
0_3	5
0_4	5
0_5	1
1_1	1
1_2	1
1_3	3
1_4	3
1_5	5
2_1	3.5
2_2	4.5
2_3	5
2_4	4.5
2_5	3.5
3_1	2
3_2	3.5
3_3	3.5
3_4	4
3_5	3
4_1	1.5
4_2	2.5
4_3	5
4_4	3
4_5	4
5_1	4.5
5_2	5
5_3	1.5
5_4	3
5_5	4
6_1	3.5
6_2	1.5
6_3	4.5
6_4	5
6_5	2
7_1	3
7_2	2
7_3	3
7_4	5
7_5	5
8_1	4.5
8_2	3.5
8_3	3
8_4	1.5
8_5	3
9_1	4.5
9_2	2
9_3	1.5
9_4	4.5
9_5	3
10_1	5
10_2	5
10_3	3.5
10_4	3.5
10_5	4
11_1	4.5
11_2	3.5
11_3	4.5
11_4	5
11_5	4
12_1	4
12_2	2.5
12_3	3
12_4	5
12_5	4
13_1	5
13_2	3
13_3	4.5
13_4	4.5
13_5	4.5
14_1	4.5
14_2	2.5
14_3	3
14_4	2.5
14_5	1
15_1	3.5
15_2	1
15_3	3.5
15_4	3.5
15_5	1
16_1	4
16_2	1.5
16_3	1
16_4	3
16_5	3
17_1	4.5
17_2	2.5
17_3	5
17_4	4
17_5	1
18_1	4
18_2	4.5
18_3	4
18_4	2.5
18_5	4
19_1	1.5
19_2	5
19_3	1
19_4	4.5
19_5	3
20_1	4.5
20_2	1.5
20_3	5
20_4	3.5
20_5	4.5
21_1	1.5
21_2	3.5
21_3	2
21_4	1
21_5	5
22_1	1
22_2	3.5
22_3	3.5
22_4	1
22_5	1
23_1	2
23_2	4.5
23_3	5
23_4	5
23_5	3.5
24_1	3.5
24_2	5
24_3	4
24_4	5
24_5	3.5
25_1	2
25_2	3.5
25_3	4
25_4	4.5
25_5	5
26_1	5
26_2	4.5
26_3	5
26_4	2.5
26_5	5
27_1	2
27_2	2
27_3	2
27_4	4
27_5	1.5
28_1	4.5
28_2	5
28_3	5
28_4	3
28_5	4
29_1	5
29_2	5
29_3	5
29_4	1
29_5	1
30_1	5
30_2	2.5
30_3	2.5
30_4	3.5
30_5	4
31_1	5
31_2	3
31_3	3
31_4	2.5
31_5	5
32_1	5
32_2	2
32_3	2.5
32_4	2.5
32_5	3
33_1	1.5
33_2	3
33_3	2.5
33_4	2
33_5	4
34_1	3
34_2	1.5
34_3	1
34_4	2.5
34_5	4.5
35_1	1.5
35_2	5
35_3	5
35_4	2
35_5	1.5
36_1	5
36_2	4.5
36_3	4.5
36_4	3
36_5	4
37_1	2.5
37_2	5
37_3	2
37_4	1
37_5	1
38_1	5
38_2	2
38_3	4.5
38_4	1
38_5	5
39_1	2
39_2	1
39_3	5
39_4	2
39_5	2.5
40_1	2
40_2	2
40_3	3.5
40_4	4.5
40_5	3
41_1	1
41_2	3
41_3	1
41_4	1
41_5	5
42_1	1
42_2	5
42_3	1
42_4	1
42_5	1
43_1	4
43_2	4.5
43_3	3.5
43_4	5
43_5	2.5
44_1	2.5
44_2	4.5
44_3	1.5
44_4	1.5
44_5	4.5
45_1	2.5
45_2	4.5
45_3	5
45_4	1.5
45_5	4
46_1	4.5
46_2	5
46_3	1.5
46_4	4
46_5	2
47_1	1
47_2	2.5
47_3	4.5
47_4	2
47_5	4
48_1	5
48_2	1
48_3	3.5
48_4	2
48_5	1.5
49_1	1
49_2	4
49_3	5
49_4	2.5
49_5	1
50_1	1.5
50_2	1
50_3	1.5
50_4	5
50_5	2.5
51_1	5
51_2	1.5
51_3	3
51_4	3.5
51_5	1
52_1	4
52_2	5
52_3	1.5
52_4	4.5
52_5	2
53_1	1
53_2	1.5
53_3	3
53_4	4.5
53_5	3.5
54_1	3
54_2	3.5
54_3	1
54_4	5
54_5	3
55_1	1.5
55_2	5
55_3	4.5
55_4	4.5
55_5	4.5
56_1	3.5
56_2	4.5
56_3	3.5
56_4	3.5
56_5	5
57_1	4.5
57_2	4
57_3	4.5
57_4	5
57_5	4
58_1	1
58_2	5
58_3	4.5
58_4	1
58_5	3
59_1	2
59_2	2.5
59_3	4.5
59_4	5
59_5	5
60_1	5
60_2	2.5
60_3	4
60_4	4.5
60_5	4.5
61_1	4.5
61_2	4.5
61_3	4.5
61_4	3.5
61_5	3
62_1	3
62_2	3
62_3	5
62_4	1
62_5	4.5
63_1	4
63_2	5
63_3	5
63_4	4
63_5	3
64_1	4
64_2	2
64_3	4.5
64_4	4.5
64_5	3
65_1	1
65_2	5
65_3	1
65_4	3
65_5	1
66_1	5
66_2	4.5
66_3	5
66_4	1.5
66_5	2.5
67_1	5
67_2	3
67_3	4
67_4	1.5
67_5	3
68_1	3.5
68_2	1.5
68_3	5
68_4	3
68_5	5
69_1	4.5
69_2	1.5
69_3	5
69_4	1.5
69_5	4.5
70_1	3.5
70_2	2.5
70_3	1.5
70_4	1.5
70_5	5
71_1	4.5
71_2	5
71_3	5
71_4	2
71_5	4
72_1	5
72_2	4.5
72_3	1
72_4	2
72_5	4.5
73_1	4.5
73_2	5
73_3	2.5
73_4	1
73_5	5
74_1	1
74_2	3
74_3	1
74_4	1
74_5	5
75_1	2.5
75_2	1
75_3	3.5
75_4	1
75_5	5
76_1	2.5
76_2	4
76_3	1.5
76_4	5
76_5	2
77_1	4.5
77_2	5
77_3	4
77_4	5
77_5	5
78_1	2.5
78_2	4
78_3	3.5
78_4	3.5
78_5	4.5
79_1	2
79_2	5
